,age,balance,duration,y
0,58,2143,261,no
1,44,29,151,no
2,33,2,76,no
3,47,1506,92,no
4,33,1,198,no
5,35,231,139,no
6,28,447,217,no
7,42,2,380,no
8,58,121,50,no
9,43,593,55,no
10,41,270,222,no
11,29,390,137,no
12,53,6,517,no
13,58,71,71,no
14,57,162,174,no
15,51,229,353,no
16,45,13,98,no
17,57,52,38,no
18,60,60,219,no
19,33,0,54,no
20,28,723,262,no
21,56,779,164,no
22,32,23,160,no
23,25,50,342,no
24,40,0,181,no
25,44,-372,172,no
26,39,255,296,no
27,52,113,127,no
28,46,-246,255,no
29,36,265,348,no
30,57,839,225,no
31,49,378,230,no
32,60,39,208,no
33,59,0,226,no
34,51,10635,336,no
35,57,63,242,no
36,25,-7,365,no
37,53,-3,1666,no
38,36,506,577,no
39,37,0,137,no
40,44,2586,160,no
41,50,49,180,no
42,60,104,22,no
43,54,529,1492,no
44,58,96,616,no
45,36,-171,242,no
46,58,-364,355,no
47,44,0,225,no
48,55,0,160,no
49,29,0,363,no
50,54,1291,266,no
51,48,-244,253,no
52,32,0,179,no
53,42,-76,787,no
54,24,-103,145,no
55,38,243,174,no
56,38,424,104,no
57,47,306,13,no
58,40,24,185,no
59,46,179,1778,no
60,32,0,138,no
61,53,989,812,no
62,57,249,164,no
63,33,790,391,no
64,49,154,357,no
65,51,6530,91,no
66,60,100,528,no
67,59,59,273,no
68,55,1205,158,no
69,35,12223,177,no
70,57,5935,258,no
71,31,25,172,no
72,54,282,154,no
73,55,23,291,no
74,43,1937,181,no
75,53,384,176,no
76,44,582,211,no
77,55,91,349,no
78,49,0,272,no
79,55,1,208,no
80,45,206,193,no
81,47,164,212,no
82,42,690,20,no
83,59,2343,1042,yes
84,46,137,246,no
85,51,173,529,no
86,56,45,1467,yes
87,41,1270,1389,yes
88,46,16,188,no
89,57,486,180,no
90,42,50,48,no
91,30,152,213,no
92,60,290,583,no
93,60,54,221,no
94,57,-37,173,no
95,36,101,426,no
96,55,383,287,no
97,60,81,101,no
98,39,0,203,no
99,46,229,197,no
100,44,-674,257,no
101,53,90,124,no
102,52,128,229,no
103,59,179,55,no
104,27,0,400,no
105,44,54,197,no
106,47,151,190,no
107,34,61,21,no
108,59,30,514,no
109,45,523,849,no
110,29,31,194,no
111,46,79,144,no
112,56,-34,212,no
113,36,448,286,no
114,59,81,107,no
115,44,144,247,no
116,41,351,518,no
117,33,-67,364,no
118,59,262,178,no
119,57,0,98,no
120,56,56,439,no
121,51,26,79,no
122,34,3,120,no
123,43,41,127,no
124,52,7,175,no
125,33,105,262,no
126,29,818,61,no
127,34,-16,78,no
128,31,0,143,no
129,55,2476,579,yes
130,55,1185,677,no
131,32,217,345,no
132,38,1685,185,no
133,55,802,100,no
134,28,0,125,no
135,23,94,193,no
136,32,0,136,no
137,43,0,73,no
138,32,517,528,no
139,46,265,541,no
140,53,947,163,no
141,34,3,301,no
142,57,42,46,no
143,37,37,204,no
144,59,57,98,no
145,33,22,71,no
146,56,8,157,no
147,48,293,243,no
148,43,3,186,no
149,54,348,579,no
150,51,-19,163,no
151,26,0,610,no
152,40,-4,2033,no
153,39,18,85,no
154,50,139,114,no
155,41,0,114,no
156,51,1883,57,no
157,60,216,238,no
158,52,782,93,no
159,48,904,128,no
160,48,1705,107,no
161,39,47,181,no
162,47,176,303,no
163,40,1225,558,no
164,45,86,270,no
165,26,82,228,no
166,52,271,99,no
167,54,1378,240,no
168,54,184,673,yes
169,50,0,233,no
170,35,0,1056,no
171,44,1357,250,no
172,53,19,252,no
173,35,434,138,no
174,60,92,130,no
175,53,1151,412,no
176,48,41,179,no
177,34,51,19,no
178,54,214,458,no
179,51,1161,717,no
180,31,37,313,no
181,35,787,683,no
182,35,59,1077,no
183,38,253,416,no
184,36,211,146,no
185,58,235,167,no
186,40,4384,315,no
187,54,4080,140,no
188,34,53,346,no
189,31,0,562,no
190,51,2127,172,no
191,33,377,217,no
192,55,73,142,no
193,42,445,67,no
194,34,243,291,no
195,33,307,309,no
196,38,155,248,no
197,50,173,98,no
198,43,400,256,no
199,61,1428,82,no
200,47,219,577,no
201,48,7,286,no
202,44,575,477,no
203,35,298,611,no
204,35,0,471,no
205,50,5699,381,no
206,41,176,42,no
207,41,517,251,no
208,39,257,408,no
209,42,56,215,no
210,38,-390,287,no
211,53,330,216,no
212,59,195,366,no
213,36,301,210,no
214,54,-41,288,no
215,40,483,168,no
216,47,28,338,no
217,53,13,410,no
218,46,965,177,no
219,39,378,127,no
220,40,219,357,no
221,28,324,175,no
222,35,-69,300,no
223,55,0,136,no
224,43,205,1419,no
225,48,278,125,no
226,58,1065,213,no
227,33,34,27,no
228,36,1033,238,no
229,53,1467,124,no
230,47,-12,18,no
231,31,388,730,no
232,57,294,746,no
233,53,1827,121,no
234,55,627,247,no
235,45,25,40,no
236,53,315,181,no
237,37,0,79,no
238,44,66,206,no
239,49,-9,389,no
240,46,349,127,no
241,43,100,702,no
242,38,0,151,no
243,43,434,117,no
244,49,3237,232,no
245,42,275,408,no
246,22,0,179,no
247,40,207,39,no
248,39,483,282,no
249,51,2248,714,no
250,49,428,50,no
251,53,0,181,no
252,34,0,142,no
253,33,140,227,no
254,50,297,119,no
255,39,279,361,no
256,59,901,73,no
257,30,2573,67,no
258,36,143,350,no
259,40,475,332,no
260,53,70,611,no
261,34,318,113,no
262,37,275,132,no
263,42,742,58,no
264,41,236,151,no
265,30,25,89,no
266,37,600,152,no
267,39,-349,611,no
268,41,183,110,no
269,40,0,463,no
270,42,0,562,yes
271,40,0,962,no
272,57,1078,10,no
273,56,155,118,no
274,37,190,92,no
275,59,319,143,no
276,39,-185,189,no
277,49,47,234,no
278,38,570,75,no
279,36,19,189,no
280,50,61,621,no
281,41,-62,55,no
282,54,258,310,no
283,58,76,156,no
284,30,0,5,no
285,33,352,225,no
286,47,368,125,no
287,50,339,2,no
288,32,1331,286,no
289,40,672,164,no
290,37,58,98,no
291,54,447,742,no
292,24,423,226,no
293,54,0,120,no
294,34,19,362,no
295,56,13,357,no
296,31,3,200,no
297,24,82,204,no
298,42,28,126,no
299,57,792,65,no
300,42,408,107,no
301,51,531,267,no
302,57,211,248,no
303,36,62,215,no
304,53,257,209,no
305,50,1234,205,no
306,54,313,83,no
307,55,89,106,no
308,44,129,189,no
309,43,0,105,no
310,56,353,106,no
311,54,851,108,no
312,55,96,311,no
313,37,398,214,no
314,33,193,132,no
315,46,-358,358,no
316,36,539,453,no
317,51,0,364,no
318,40,0,136,no
319,42,490,386,no
320,51,0,173,no
321,49,403,241,no
322,48,161,224,no
323,32,2558,148,no
324,31,98,196,no
325,55,115,111,no
326,40,436,231,no
327,47,831,316,no
328,57,206,216,no
329,41,290,240,no
330,48,1,669,no
331,42,57,425,no
332,30,-457,143,no
333,58,1387,174,no
334,45,24598,313,no
335,49,30,135,no
336,42,1022,146,no
337,53,56,152,no
338,51,-2,402,no
339,32,121,213,no
340,41,842,144,no
341,43,693,124,no
342,40,-333,183,no
343,50,1533,325,no
344,34,46,39,no
345,53,18,503,no
346,45,44,95,no
347,39,-100,680,no
348,44,510,421,no
349,55,685,174,no
350,46,187,113,no
351,45,66,808,no
352,34,560,198,no
353,36,0,195,no
354,59,27,347,no
355,31,12,208,no
356,44,34,404,no
357,33,1068,396,no
358,40,211,216,no
359,46,377,98,no
360,48,263,350,no
361,42,1263,114,no
362,27,8,88,no
363,48,126,379,no
364,59,230,190,no
365,46,841,158,no
366,38,308,102,no
367,43,1,306,no
368,38,86,218,no
369,23,157,54,no
370,34,22,344,no
371,38,46,195,no
372,37,1293,652,no
373,25,122,286,no
374,48,131,189,no
375,49,143,83,no
376,38,393,184,no
377,43,98,235,no
378,33,0,290,no
379,55,224,232,no
380,38,757,133,no
381,49,245,318,no
382,40,8486,260,no
383,43,350,437,no
384,38,20,402,no
385,58,1667,85,no
386,57,345,125,no
387,32,10,501,no
388,56,830,1201,yes
389,58,29,253,no
390,60,545,1030,yes
391,37,8730,149,no
392,46,477,114,no
393,27,4,243,no
394,43,1205,769,no
395,32,0,135,no
396,40,263,231,no
397,38,1,76,no
398,34,283,199,no
399,47,206,152,no
400,42,17,124,no
401,48,141,424,no
402,29,16,43,no
403,50,206,154,no
404,52,7,203,no
405,50,0,326,no
406,58,0,393,no
407,46,1927,241,no
408,38,284,483,no
409,46,1660,259,no
410,32,406,227,no
411,51,230,673,no
412,39,-25,576,no
413,48,182,180,no
414,36,1169,168,no
415,34,67,90,no
416,40,77,505,no
417,43,0,245,no
418,52,55,186,no
419,33,72,623,no
420,49,163,496,no
421,32,151,118,no
422,39,113,342,no
423,40,0,225,no
424,38,9,185,no
425,43,375,196,no
426,39,1142,276,no
427,54,2102,76,no
428,38,4325,87,no
429,40,217,195,no
430,55,131,744,no
431,42,1680,765,no
432,39,0,262,no
433,40,46,119,no
434,32,320,198,no
435,55,183,150,no
436,45,39,241,no
437,35,560,181,no
438,58,469,196,no
439,35,530,149,no
440,49,61,246,no
441,34,242,112,no
442,36,139,309,no
443,24,0,278,no
444,34,367,140,no
445,51,228,136,no
446,39,45248,1623,yes
447,50,-84,101,no
448,32,310,144,no
449,42,132,238,no
450,50,797,354,no
451,40,71,79,no
452,46,2,187,no
453,37,231,451,no
454,34,270,159,no
455,44,274,409,no
456,40,-109,170,no
457,37,1,608,yes
458,33,-60,243,no
459,35,89,145,no
460,58,-11,112,no
461,39,0,262,no
462,43,-509,124,no
463,39,408,53,no
464,36,58,134,no
465,57,1640,204,no
466,36,20,186,no
467,50,71,678,no
468,55,52,182,no
469,44,292,162,no
470,44,424,27,no
471,39,109,699,no
472,46,1044,43,no
473,39,983,97,no
474,34,869,1677,yes
475,40,668,283,no
476,50,964,323,no
477,31,301,82,no
478,37,140,310,no
479,39,1877,185,no
480,51,1127,47,no
481,41,871,145,no
482,41,767,204,no
483,43,0,187,no
484,30,209,30,no
485,54,0,472,no
486,43,110,448,no
487,59,-76,264,no
488,47,178,169,no
489,40,-66,288,no
490,32,0,176,no
491,29,1,215,no
492,36,0,337,no
493,55,5345,278,no
494,30,-209,188,no
495,39,0,174,no
496,39,42,226,no
497,50,41,190,no
498,44,-99,111,no
499,37,17,164,no
500,46,276,157,no
501,32,-170,46,no
502,37,230,374,no
503,29,9,349,no
504,41,946,325,no
505,45,1297,233,no
506,57,-331,531,no
507,48,44,153,no
508,60,15,80,no
509,26,712,232,no
510,58,5435,118,no
511,34,507,190,no
512,55,387,918,yes
513,41,0,238,no
514,50,1716,82,no
515,49,167,198,no
516,44,40,160,no
517,44,148,211,no
518,31,17,120,no
519,34,1011,136,no
520,46,1527,269,no
521,42,744,157,no
522,52,484,128,no
523,29,0,211,no
524,53,136,267,no
525,43,1335,371,no
526,38,517,288,no
527,46,459,221,no
528,48,549,427,no
529,30,83,310,no
530,44,213,158,no
531,31,203,604,no
532,42,518,198,no
533,40,3877,145,no
534,52,1236,247,no
535,45,756,179,no
536,48,157,73,no
537,45,-66,263,no
538,34,245,13,no
539,34,-144,79,no
540,46,71,416,no
541,49,505,162,no
542,50,249,129,no
543,34,0,150,no
544,40,11,43,no
545,36,639,191,no
546,59,124,26,no
547,45,82,250,no
548,36,107,146,no
549,56,473,416,no
550,42,372,121,no
551,30,46,114,no
552,30,34,289,no
553,47,935,225,no
554,33,-10,123,no
555,36,-106,130,no
556,39,471,161,no
557,56,778,149,no
558,39,170,268,no
559,42,315,259,no
560,52,3165,26,no
561,36,131,153,no
562,35,204,424,no
563,47,83,179,no
564,59,0,97,no
565,57,5431,383,no
566,38,1759,440,no
567,46,-125,23,no
568,34,0,195,no
569,28,5090,1297,yes
570,38,573,87,no
571,56,1602,427,no
572,41,-137,189,no
573,52,0,195,no
574,54,193,179,no
575,61,195,179,no
576,53,288,69,no
577,47,19,105,no
578,53,25,266,no
579,46,216,524,no
580,39,190,96,no
581,56,99,155,no
582,55,2298,162,no
583,44,17,352,no
584,37,0,76,no
585,35,0,154,no
586,55,840,310,no
587,37,358,390,no
588,30,0,369,no
589,37,-325,112,no
590,36,-15,341,no
591,38,581,79,no
592,41,4070,140,no
593,48,74,315,no
594,55,141,262,no
595,28,89,174,no
596,54,0,138,no
597,30,450,526,no
598,48,310,135,no
599,31,0,36,no
600,38,384,1906,no
601,37,395,219,no
602,37,-118,147,no
603,56,5,407,no
604,51,50,121,no
605,39,285,209,no
606,49,15,92,no
607,51,653,208,no
608,43,918,193,no
609,32,243,144,no
610,29,405,65,no
611,48,1328,339,no
612,55,255,285,no
613,53,3397,231,no
614,47,2106,168,no
615,39,2877,278,no
616,31,60,389,no
617,39,2226,158,no
618,40,2880,145,no
619,40,-5,78,no
620,48,147,142,no
621,33,7,87,no
622,40,109,147,no
623,59,-119,289,no
624,30,484,703,yes
625,31,1852,170,no
626,35,533,802,no
627,54,21,381,no
628,34,2434,218,no
629,32,90,57,no
630,56,4246,304,no
631,32,395,241,no
632,42,15,230,no
633,33,85,262,no
634,52,-184,392,no
635,52,660,201,no
636,52,-183,145,no
637,30,1144,252,no
638,44,1,235,no
639,35,69,235,no
640,55,220,328,no
641,33,332,116,no
642,37,240,246,no
643,42,0,293,no
644,43,0,37,no
645,38,898,132,no
646,37,123,530,no
647,31,252,175,no
648,41,65,524,no
649,41,-366,29,no
650,29,209,311,no
651,38,221,211,no
652,44,4,312,no
653,39,104,412,no
654,28,312,392,no
655,33,-349,191,no
656,41,4,284,no
657,40,-322,144,no
658,29,-150,328,no
659,38,1349,100,no
660,32,281,226,no
661,45,1259,507,no
662,33,101,392,no
663,34,848,684,no
664,41,89,333,no
665,41,140,311,no
666,35,148,128,no
667,40,200,322,no
668,60,46,202,no
669,47,201,92,no
670,46,530,739,no
671,31,0,273,no
672,49,1,260,no
673,29,43,268,no
674,31,-173,396,no
675,38,389,262,no
676,37,215,308,no
677,35,-131,467,no
678,31,783,320,no
679,41,0,160,no
680,46,80,245,no
681,40,105,189,no
682,29,182,477,no
683,49,82,310,no
