age,balance,duration,y
58,2143,261,no
44,29,151,no
33,2,76,no
47,1506,92,no
33,1,198,no
35,231,139,no
28,447,217,no
42,2,380,no
58,121,50,no
43,593,55,no
41,270,222,no
29,390,137,no
53,6,517,no
58,71,71,no
57,162,174,no
51,229,353,no
45,13,98,no
57,52,38,no
60,60,219,no
33,0,54,no
28,723,262,no
56,779,164,no
32,23,160,no
25,50,342,no
40,0,181,no
44,-372,172,no
39,255,296,no
52,113,127,no
46,-246,255,no
36,265,348,no
57,839,225,no
49,378,230,no
60,39,208,no
59,0,226,no
51,10635,336,no
57,63,242,no
25,-7,365,no
53,-3,1666,no
36,506,577,no
37,0,137,no
44,2586,160,no
50,49,180,no
60,104,22,no
54,529,1492,no
58,96,616,no
36,-171,242,no
58,-364,355,no
44,0,225,no
55,0,160,no
29,0,363,no
54,1291,266,no
48,-244,253,no
32,0,179,no
42,-76,787,no
24,-103,145,no
38,243,174,no
38,424,104,no
47,306,13,no
40,24,185,no
46,179,1778,no
32,0,138,no
53,989,812,no
57,249,164,no
33,790,391,no
49,154,357,no
51,6530,91,no
60,100,528,no
59,59,273,no
55,1205,158,no
35,12223,177,no
57,5935,258,no
31,25,172,no
54,282,154,no
55,23,291,no
43,1937,181,no
53,384,176,no
44,582,211,no
55,91,349,no
49,0,272,no
55,1,208,no
45,206,193,no
47,164,212,no
42,690,20,no
59,2343,1042,yes
46,137,246,no
51,173,529,no
56,45,1467,yes
41,1270,1389,yes
46,16,188,no
57,486,180,no
42,50,48,no
30,152,213,no
60,290,583,no
60,54,221,no
57,-37,173,no
36,101,426,no
55,383,287,no
60,81,101,no
39,0,203,no
46,229,197,no
44,-674,257,no
53,90,124,no
52,128,229,no
59,179,55,no
27,0,400,no
44,54,197,no
47,151,190,no
34,61,21,no
59,30,514,no
45,523,849,no
29,31,194,no
46,79,144,no
56,-34,212,no
36,448,286,no
59,81,107,no
44,144,247,no
41,351,518,no
33,-67,364,no
59,262,178,no
57,0,98,no
56,56,439,no
51,26,79,no
34,3,120,no
43,41,127,no
52,7,175,no
33,105,262,no
29,818,61,no
34,-16,78,no
31,0,143,no
55,2476,579,yes
55,1185,677,no
32,217,345,no
38,1685,185,no
55,802,100,no
28,0,125,no
23,94,193,no
32,0,136,no
43,0,73,no
32,517,528,no
46,265,541,no
53,947,163,no
34,3,301,no
57,42,46,no
37,37,204,no
59,57,98,no
33,22,71,no
56,8,157,no
48,293,243,no
43,3,186,no
54,348,579,no
51,-19,163,no
26,0,610,no
40,-4,2033,no
39,18,85,no
50,139,114,no
41,0,114,no
51,1883,57,no
60,216,238,no
52,782,93,no
48,904,128,no
48,1705,107,no
39,47,181,no
47,176,303,no
40,1225,558,no
45,86,270,no
26,82,228,no
52,271,99,no
54,1378,240,no
54,184,673,yes
50,0,233,no
35,0,1056,no
44,1357,250,no
53,19,252,no
35,434,138,no
60,92,130,no
53,1151,412,no
48,41,179,no
34,51,19,no
54,214,458,no
51,1161,717,no
31,37,313,no
35,787,683,no
35,59,1077,no
38,253,416,no
36,211,146,no
58,235,167,no
40,4384,315,no
54,4080,140,no
34,53,346,no
31,0,562,no
51,2127,172,no
33,377,217,no
55,73,142,no
42,445,67,no
34,243,291,no
33,307,309,no
38,155,248,no
50,173,98,no
43,400,256,no
61,1428,82,no
47,219,577,no
48,7,286,no
44,575,477,no
35,298,611,no
35,0,471,no
50,5699,381,no
41,176,42,no
41,517,251,no
39,257,408,no
42,56,215,no
38,-390,287,no
53,330,216,no
59,195,366,no
36,301,210,no
54,-41,288,no
40,483,168,no
47,28,338,no
53,13,410,no
46,965,177,no
39,378,127,no
40,219,357,no
28,324,175,no
35,-69,300,no
55,0,136,no
43,205,1419,no
48,278,125,no
58,1065,213,no
33,34,27,no
36,1033,238,no
53,1467,124,no
47,-12,18,no
31,388,730,no
57,294,746,no
53,1827,121,no
55,627,247,no
45,25,40,no
53,315,181,no
37,0,79,no
44,66,206,no
49,-9,389,no
46,349,127,no
43,100,702,no
38,0,151,no
43,434,117,no
49,3237,232,no
42,275,408,no
22,0,179,no
40,207,39,no
39,483,282,no
51,2248,714,no
49,428,50,no
53,0,181,no
34,0,142,no
33,140,227,no
50,297,119,no
39,279,361,no
59,901,73,no
30,2573,67,no
36,143,350,no
40,475,332,no
53,70,611,no
34,318,113,no
37,275,132,no
42,742,58,no
41,236,151,no
30,25,89,no
37,600,152,no
39,-349,611,no
41,183,110,no
40,0,463,no
42,0,562,yes
40,0,962,no
57,1078,10,no
56,155,118,no
37,190,92,no
59,319,143,no
39,-185,189,no
49,47,234,no
38,570,75,no
36,19,189,no
50,61,621,no
41,-62,55,no
54,258,310,no
58,76,156,no
30,0,5,no
33,352,225,no
47,368,125,no
50,339,2,no
32,1331,286,no
40,672,164,no
37,58,98,no
54,447,742,no
24,423,226,no
54,0,120,no
34,19,362,no
56,13,357,no
31,3,200,no
24,82,204,no
42,28,126,no
